timestamp,btc_usd,eth_usd
2026-06-27 01:15:54,60394.0,1581.5
2026-06-27 01:18:18,60399.0,1581.7
2026-06-27 01:18:30,60399.0,1581.7
2026-06-27 01:18:42,60399.0,1581.7
2026-06-27 01:18:53,60399.0,1581.7
2026-06-27 01:19:04,60399.0,1581.7
2026-06-27 01:19:14,60399.0,1581.7
2026-06-27 01:19:26,60387.0,1581.43
2026-06-27 01:19:37,60387.0,1581.43
2026-06-27 01:19:49,60387.0,1581.43
2026-06-27 01:20:00,60387.0,1581.43
2026-06-27 01:21:17,60380.0,1581.49
2026-06-27 01:21:28,60370.0,1581.31
2026-06-27 01:21:39,60370.0,1581.31
2026-06-27 01:21:50,60370.0,1581.31
2026-06-27 01:22:01,60370.0,1581.31
2026-06-27 01:22:12,60370.0,1581.31
2026-06-27 01:22:23,60372.0,1581.21
2026-06-27 01:22:34,60372.0,1581.21
2026-06-27 01:23:50,60370.0,1581.14
2026-06-27 01:24:01,60370.0,1581.14
2026-06-27 01:24:11,60370.0,1581.14
2026-06-27 01:24:23,60373.0,1581.21
2026-06-27 01:31:51,60360.0,1581.35
2026-06-27 01:31:51,60360.0,1581.35
2026-06-27 01:32:02,60360.0,1581.35
2026-06-27 01:32:13,60360.0,1581.35
2026-06-27 01:32:24,60366.0,1581.42
2026-06-27 01:32:35,60366.0,1581.42
2026-06-27 01:32:46,60366.0,1581.42
2026-06-27 01:33:51,60365.0,1581.32
2026-06-27 01:33:53,60365.0,1581.32
2026-06-27 01:34:02,60365.0,1581.32
2026-06-27 01:34:13,60365.0,1581.32
2026-06-27 01:34:24,60367.0,1581.24
2026-06-27 01:34:34,60367.0,1581.24
2026-06-27 01:34:45,60367.0,1581.24
2026-06-27 01:35:56,60361.0,1581.14
2026-06-27 01:36:03,60361.0,1581.14
2026-06-27 01:36:15,60361.0,1581.14
2026-06-27 01:36:25,60363.0,1581.24
2026-06-27 01:36:36,60363.0,1581.24
2026-06-27 01:36:47,60363.0,1581.24
2026-06-27 01:38:00,60366.0,1581.3
2026-06-27 01:38:05,60366.0,1581.3
2026-06-27 01:41:03,60318.0,1580.33
2026-06-27 01:42:03,60318.0,1580.13
2026-06-27 01:43:04,60316.0,1580.19
2026-06-27 01:44:05,60319.0,1580.41
2026-06-27 01:45:06,60306.0,1580.15
2026-06-27 01:46:07,60290.0,1579.83
2026-06-27 01:47:08,60290.0,1579.74
2026-06-27 01:48:08,60303.0,1579.97
2026-06-27 01:49:09,60308.0,1580.18
2026-06-27 01:50:11,60313.0,1580.29
2026-06-27 01:51:12,60323.0,1580.28
2026-06-27 01:52:13,60326.0,1580.23
2026-06-27 01:53:14,60341.0,1580.37
2026-06-27 01:54:15,60360.0,1580.64
2026-06-27 01:55:15,60398.0,1582.09
2026-06-27 01:56:16,60404.0,1582.67
2026-06-27 01:57:17,60380.0,1581.76
2026-06-27 01:58:18,60377.0,1581.59
2026-06-27 01:59:18,60378.0,1581.94
2026-06-27 02:00:19,60378.0,1581.95
2026-06-27 02:01:20,60366.0,1581.76
2026-06-27 02:02:21,60362.0,1581.6
2026-06-27 02:03:22,60345.0,1581.08
2026-06-27 02:04:23,60354.0,1581.25
2026-06-27 02:05:24,60357.0,1581.25
2026-06-27 02:06:25,60357.0,1581.31
2026-06-27 02:07:26,60370.0,1581.6
2026-06-27 02:08:26,60388.0,1581.94
2026-06-27 02:09:28,60380.0,1581.93
2026-06-27 02:10:28,60370.0,1581.59
2026-06-27 02:11:29,60354.0,1581.17
2026-06-27 02:12:30,60324.0,1580.67
2026-06-27 02:13:31,60303.0,1579.7
2026-06-27 02:14:31,60296.0,1579.65
2026-06-27 02:15:33,60291.0,1579.12
2026-06-27 02:16:33,60260.0,1578.4
2026-06-27 02:17:35,60232.0,1577.8
2026-06-27 02:18:36,60231.0,1577.7
2026-06-27 02:19:37,60230.0,1577.7
2026-06-27 02:20:38,60240.0,1578.01
2026-06-27 02:21:39,60257.0,1578.18
2026-06-27 02:22:40,60258.0,1578.22
2026-06-27 02:25:30,60244.0,1577.58
2026-06-27 02:25:31,60244.0,1577.58
2026-06-27 02:26:31,60246.0,1577.81
2026-06-27 02:26:33,60246.0,1577.81
2026-06-27 02:27:33,60251.0,1578.09
2026-06-27 02:27:34,60251.0,1578.09
2026-06-27 02:28:36,60253.0,1578.17
2026-06-27 02:28:37,60253.0,1578.17
2026-06-27 02:29:38,60272.0,1578.4
2026-06-27 02:29:40,60272.0,1578.4
2026-06-27 02:30:38,60268.0,1578.27
2026-06-27 02:30:41,60268.0,1578.27
2026-06-27 02:31:40,60274.0,1578.43
2026-06-27 02:31:43,60274.0,1578.43
2026-06-27 02:32:41,60294.0,1578.88
2026-06-27 02:32:45,60294.0,1578.88
2026-06-27 02:33:43,60310.0,1579.26
2026-06-27 02:33:47,60310.0,1579.26
2026-06-27 02:34:44,60325.0,1580.14
2026-06-27 02:34:48,60325.0,1580.14
2026-06-27 02:36:13,60331.0,1580.08
2026-06-27 02:37:14,60332.0,1579.93
2026-06-27 02:38:14,60328.0,1579.88
2026-06-27 02:39:15,60319.0,1579.7
2026-06-27 02:40:16,60318.0,1579.6
2026-06-27 02:41:16,60318.0,1579.69
2026-06-27 02:42:17,60313.0,1579.53
2026-06-27 02:43:18,60314.0,1579.61
2026-06-27 02:44:19,60318.0,1579.73
2026-06-27 02:45:19,60317.0,1579.71
2026-06-27 02:46:20,60314.0,1579.59
2026-06-27 02:47:20,60319.0,1579.64
2026-06-27 02:48:21,60329.0,1579.87
2026-06-27 02:49:22,60322.0,1579.75
2026-06-27 02:50:23,60328.0,1579.96
2026-06-27 02:51:23,60316.0,1579.77
2026-06-27 02:52:24,60309.0,1579.68
2026-06-27 02:53:25,60304.0,1579.6
2026-06-27 02:54:27,60304.0,1579.52
2026-06-27 02:55:28,60304.0,1579.47
2026-06-27 02:56:29,60313.0,1579.56
2026-06-27 02:57:30,60318.0,1579.58
2026-06-27 02:58:31,60321.0,1579.76
2026-06-27 02:59:33,60331.0,1580.04
2026-06-27 03:00:33,60335.0,1580.22
2026-06-27 03:01:34,60333.0,1580.48
2026-06-27 03:02:35,60346.0,1580.92
2026-06-27 03:03:35,60342.0,1580.6
2026-06-27 03:04:37,60322.0,1580.16
2026-06-27 03:05:38,60321.0,1580.08
2026-06-27 03:06:39,60338.0,1580.68
2026-06-27 03:07:39,60342.0,1580.7
2026-06-27 03:08:42,60338.0,1580.69
2026-06-27 03:09:43,60340.0,1580.62
2026-06-27 03:10:44,60341.0,1580.62
2026-06-27 03:11:46,60337.0,1580.56
2026-06-27 03:12:48,60349.0,1580.89
2026-06-27 03:13:48,60357.0,1581.13
2026-06-27 03:14:51,60370.0,1581.43
2026-06-27 03:15:51,60370.0,1581.42
2026-06-27 03:16:52,60374.0,1581.38
2026-06-27 03:17:54,60369.0,1581.19
2026-06-27 03:18:55,60365.0,1581.27
2026-06-27 03:19:56,60364.0,1581.32
2026-06-27 03:20:57,60366.0,1581.47
2026-06-27 03:21:58,60382.0,1581.82
2026-06-27 03:22:59,60385.0,1581.78
2026-06-27 03:24:00,60379.0,1581.69
2026-06-27 03:25:01,60388.0,1581.89
2026-06-27 03:26:02,60392.0,1582.05
2026-06-27 03:27:02,60390.0,1582.03
2026-06-27 03:28:06,60387.0,1581.98
2026-06-27 03:29:07,60383.0,1581.63
2026-06-27 03:30:09,60370.0,1581.31
